epoch,,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),,val/box_loss,val/cls_loss,val/dfl_loss
142,,2.00686,2.08224,2.58453,0.81838,0.86998,0.89099,,1.48129,1.24892,2.08993
143,,2.01091,2.1149,2.58824,0.82757,0.87458,0.89199,,1.48022,1.23531,2.08826
144,,2.038,2.14941,2.60396,0.82161,0.87642,0.89042,,1.48694,1.23197,2.08896
145,,2.06806,2.15983,2.6232,0.82349,0.87287,0.88954,,1.47401,1.22554,2.08426
146,,2.02518,2.12191,2.59461,0.81766,0.88388,0.89338,,1.47597,1.21431,2.08509
147,,2.03493,2.14409,2.60339,0.82407,0.87368,0.89273,,1.47404,1.2087,2.08368
148,,2.01169,2.12096,2.59666,0.82141,0.88287,0.89162,,1.47736,1.21674,2.08486
149,,2.04907,2.1546,2.60698,0.82847,0.87022,0.89206,,1.47883,1.20754,2.08761
150,,2.05365,2.12713,2.58911,0.83371,0.86942,0.8922,,1.46539,1.20692,2.07951
151,,2.01085,2.07817,2.5836,0.82142,0.87818,0.89211,,1.46694,1.21528,2.076
152,,2.01932,2.10946,2.59258,0.82097,0.87785,0.8942,,1.46704,1.21063,2.07577
153,,2.02365,2.11499,2.58416,0.82875,0.86907,0.89327,,1.46439,1.20691,2.0749
154,,2.01457,2.07034,2.58252,0.82601,0.86621,0.89243,,1.46883,1.21224,2.07817
155,,1.98737,2.03859,2.56737,0.81944,0.87668,0.89235,,1.46499,1.20695,2.07492
156,,2.03526,2.12458,2.59118,0.81365,0.88014,0.89518,,1.46053,1.20128,2.07263
157,,1.9977,2.07868,2.56688,0.82358,0.87614,0.89531,,1.46709,1.20631,2.07505
158,,2.00997,2.07577,2.57917,0.82611,0.87343,0.8981,,1.46975,1.203,2.0746
159,,2.00755,2.07448,2.58255,0.83087,0.87225,0.89832,,1.47169,1.21024,2.07338
160,,2.01375,2.05607,2.58254,0.8305,0.87495,0.89673,,1.47163,1.20376,2.07516
161,,2.01637,2.06665,2.58476,0.83053,0.87648,0.8996,,1.4638,1.19714,2.06973
162,,2.03154,2.11083,2.5906,0.82455,0.88393,0.89856,,1.46189,1.19769,2.06869
163,,1.97713,2.05468,2.56672,0.82889,0.8762,0.89872,,1.46053,1.20034,2.0665
164,,2.02025,2.08698,2.59274,0.82664,0.87457,0.89965,,1.46121,1.19829,2.06699
165,,2.02625,2.08495,2.59259,0.83664,0.86665,0.89997,,1.45999,1.19528,2.06655
166,,1.99988,2.05384,2.57449,0.83083,0.8768,0.90062,,1.45243,1.19247,2.06101
167,,1.97992,2.02195,2.55724,0.82729,0.87895,0.89984,,1.44604,1.19284,2.05983
168,,2.02143,2.0786,2.58213,0.82575,0.8812,0.89842,,1.44294,1.19381,2.05602
169,,1.97093,2.0226,2.55012,0.8355,0.86991,0.89854,,1.43995,1.19322,2.05521
170,,1.95775,2.04636,2.55241,0.83695,0.87369,0.89875,,1.44096,1.19095,2.05505
171,,1.9977,2.06434,2.56575,0.84002,0.86904,0.89891,,1.43619,1.18764,2.05233
172,,1.97088,2.04784,2.5629,0.83113,0.87687,0.89963,,1.4362,1.18772,2.05259
173,,2.01236,2.05173,2.57226,0.82802,0.87804,0.89948,,1.43478,1.1896,2.05391
174,,1.97641,2.0189,2.55232,0.82887,0.88004,0.89968,,1.43344,1.18767,2.05364
175,,2.01093,2.05731,2.57437,0.8382,0.87529,0.89912,,1.43368,1.18572,2.05365
176,,1.95522,1.99785,2.5358,0.83744,0.87905,0.90044,,1.43132,1.18476,2.05166
177,,1.9913,1.99631,2.55634,0.83624,0.8776,0.90121,,1.42867,1.18644,2.04999
178,,1.93624,1.99176,2.54516,0.83778,0.87921,0.89968,,1.42694,1.18608,2.04884
179,,1.98033,2.03393,2.56703,0.83609,0.88074,0.8989,,1.42635,1.18477,2.04837
180,,1.98187,2.0103,2.55194,0.8353,0.88115,0.90008,,1.42757,1.18529,2.0483
181,,1.976,2.02416,2.55256,0.83634,0.88013,0.90054,,1.42613,1.18199,2.04864
182,,1.99786,2.07693,2.57015,0.83117,0.88327,0.90192,,1.42696,1.18133,2.04914
183,,1.97195,2.01904,2.55103,0.83227,0.88072,0.90127,,1.4286,1.17974,2.05004
184,,1.97121,2.02976,2.55695,0.82815,0.879,0.89994,,1.42679,1.17861,2.04957
185,,1.97364,2.00582,2.55705,0.83051,0.87778,0.90174,,1.42708,1.17439,2.04959
186,,1.98624,2.01696,2.55864,0.83681,0.86688,0.90073,,1.4256,1.1746,2.05114
187,,1.98652,1.99752,2.5523,0.82307,0.88071,0.90036,,1.42849,1.17413,2.0506
188,,1.9672,1.97974,2.54702,0.82378,0.88238,0.90025,,1.42759,1.17631,2.05033
189,,1.94003,1.98737,2.5413,0.82729,0.88241,0.90027,,1.42856,1.17212,2.04932
190,,1.99131,1.99277,2.56146,0.82621,0.87952,0.90026,,1.42804,1.17074,2.04985
191,,1.95461,1.96665,2.53128,0.83505,0.87633,0.89952,,1.42604,1.17195,2.04916
192,,1.93987,1.97126,2.53554,0.83018,0.87978,0.89954,,1.426,1.17103,2.04919
